generation,spec,accuracy,f1,loss,precision,recall
0,16420846450557718,0.3007,nan,1.877818512916565,0.3168932543546729,0.30069999999999997
0,1642084785797622,0.2806,0.23345644799863216,2.0571554040908815,0.31433784715404395,0.2806
0,16420849248431082,0.2715,0.23747352249875736,1.947297464609146,0.3126080873168947,0.2715
0,1642085063533995,0.2793,0.2534057608995296,1.9794980919361114,0.3141081069666936,0.2793
0,1642085156122132,0.279,0.25546585228380536,1.8980989396572112,0.3410813766998015,0.279
1,1642085313518303,0.2762,0.25975152246079175,1.9186896181106567,0.31889765244889,0.2762
1,1.6420846450557718e+16,0.3007,nan,1.877818512916565,0.3168932543546729,0.3006999999999999
1,1642084785797622.0,0.2806,0.2334564479986321,2.057155404090881,0.3143378471540439,0.2806
1,1642085063533995.0,0.2793,0.2534057608995296,1.9794980919361116,0.3141081069666936,0.2793
2,16420855320029068,0.301,0.2626265243944498,1.819565886259079,0.2835663538818479,0.301
2,16420856251172009,0.2848,0.24856885025442788,1.859899139404297,0.3143059325210634,0.2848
2,1642085718637782,0.2646,0.23411578036094963,2.0167678213119506,0.293570870258599,0.2646
2,1.6420846450557718e+16,0.3007,nan,1.877818512916565,0.3168932543546729,0.3006999999999999
2,1642084785797622.0,0.2806,0.2334564479986321,2.057155404090881,0.3143378471540439,0.2806
2,1642085063533995.0,0.2793,0.2534057608995296,1.979498091936112,0.3141081069666936,0.2793
3,1.6420855320029068e+16,0.301,0.2626265243944498,1.819565886259079,0.2835663538818479,0.301
3,1.6420846450557718e+16,0.3007,nan,1.877818512916565,0.3168932543546729,0.3006999999999999
3,1.6420856251172008e+16,0.2848,0.2485688502544278,1.859899139404297,0.3143059325210634,0.2848
4,1.6420855320029068e+16,0.301,0.2626265243944498,1.819565886259079,0.2835663538818479,0.301
4,1.6420846450557718e+16,0.3007,nan,1.877818512916565,0.3168932543546729,0.3006999999999999
4,1.6420856251172008e+16,0.2848,0.2485688502544278,1.859899139404297,0.3143059325210634,0.2848
5,1.6420855320029068e+16,0.301,0.2626265243944498,1.819565886259079,0.2835663538818479,0.301
5,1.6420846450557718e+16,0.3007,nan,1.877818512916565,0.3168932543546729,0.3006999999999999
5,1.6420856251172008e+16,0.2848,0.2485688502544278,1.859899139404297,0.3143059325210634,0.2848
